MaStR-Nr. der Einheit,Anzeige-Name der Einheit,Betriebs-Status,Energieträger,Bruttoleistung der Einheit,Nettonennleistung der Einheit,Inbetriebnahmedatum der Einheit,Inbetriebnahmedatum der Einheit am aktuellen Standort,Registrierungsdatum der Einheit,Bundesland,Postleitzahl,Ort,Straße,Hausnummer,Gemarkung,Flurstück,Gemeindeschlüssel,Gemeinde,Landkreis,Koordinate: Breitengrad (WGS84),Koordinate: Längengrad (WGS84),Lat,Lon,Technologie der Stromerzeugung,Art der Solaranlage,Anzahl der Solar-Module,Hauptausrichtung der Solar-Module,Hauptneigungswinkel der Solar-Module,Nutzungsbereich des Gebäudes mit Solaranlage,Name des Solarparks,Überwiegende Nutzungsart der Fläche vor Errichtung der Solaranlage,Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung der Solaranlage,Größe der in Anspruch genommenen Fläche in Hektar,Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung,Lichte Höhe in Meter,Name des Windparks,Wind an Land oder auf See,Nabenhöhe der Windenergieanlage,Rotordurchmesser der Windenergieanlage,Hersteller der Windenergieanlage,Typenbezeichnung,Hauptbrennstoff der Einheit,MaStR-Nr. der Speichereinheit,Speichertechnologie,Nutzbare Speicherkapazität in kWh,Letzte Aktualisierung,Datum der endgültigen Stilllegung,Datum der geplanten Inbetriebnahme,Name des Anlagenbetreibers (nur Org.),"	MaStR-Nr. des Anlagenbetreibers",Volleinspeisung oder Teileinspeisung,MaStR-Nr. der Genehmigung,Name des Anschluss-Netzbetreibers,MaStR-Nr. des Anschluss-Netzbetreibers,Netzbetreiberprüfung,Spannungsebene,MaStR-Nr. der Lokation,MaStR-Nr. der EEG-Anlage,EEG-Anlagenschlüssel,Inbetriebnahmedatum der EEG-Anlage,Installierte Leistung der EEG-Anlage,Zuschlagnummer (EEG/KWK-Ausschreibung),MaStR-Nr. der KWK-Anlage,Inbetriebnahmedatum der KWK-Anlage,Elektrische KWK-Leistung,Thermische Nutzleistung in kW
SEE991181426935,VM-01,In Betrieb,Wind,6300,6300,19/03/2017,,05/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"5,434,155","5,828,958",54.34155,5.82896,Horizontalläufer,,,,,,,,,,,,OWP Veja Mate,Windkraft auf See,"103,28",154,Siemens Wind Power GmbH & Co. KG,SWT-6.0-154,,,,,09/01/2025,,,Veja Mate Offshore Project GmbH,ABR952939818853,Volleinspeisung,SGE921087548875,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL929196129428,EEG968963498985,E2026001VEJAMATE00000000000000001,19/03/2017,6300,,,,,
SEE948492783349,DT01,In Betrieb,Wind,3780,3780,04/12/2014,,06/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,067,578","7,174,499",55.06758,7.17450,Horizontalläufer,,,,,,,,,,,,OWP DanTysk,Windkraft auf See,88,120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,14/04/2023,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE922210030212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL960138676303,EEG914567038492,E2026001HRA0000000DYSKE0000100001,04/12/2014,3780,,,,,
SEE996261343003,DT02,In Betrieb,Wind,3780,3780,04/12/2014,,20/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"5,507,562","7,175,124",55.07562,7.17512,Horizontalläufer,,,,,,,,,,,,OWP DanTysk,Windkraft auf See,88,120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,13/04/2023,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE922210030212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL960138676303,EEG917638821283,E2026001HRA0000000DYSKE0000100002,04/12/2014,3780,,,,,
SEE990582178207,A1,In Betrieb,Wind,3780,3780,15/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,949,617","13,083,867",54.94962,13.08387,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE954425470651,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG948099790603,E4045001BALTIC02OFFFLAKxWTGxA1x01,15/07/2015,3780,,,,,
SEE969452881615,B1,In Betrieb,Wind,3780,3780,15/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,957,388","13,092,806",54.95739,13.09281,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE955712086135,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG986817579130,E4045001BALTIC02OFFFLAKxWTGxB1x02,15/07/2015,3780,,,,,
SEE998929495550,B2,In Betrieb,Wind,3780,3780,15/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,950,259","13,096,126",54.95026,13.09613,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE930194532806,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG933649767365,E4045001BALTIC02OFFFLAKxWTGxB2x03,15/07/2015,3780,,,,,
SEE927962800113,C1,In Betrieb,Wind,3780,3780,09/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,964,647","13,101,726",54.96465,13.10173,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE946321400696,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG980683207418,E4045001BALTIC02OFFFLAKxWTGxC1x04,09/06/2015,3780,,,,,
SEE941324537936,C2,In Betrieb,Wind,3780,3780,28/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,958,302","13,104,696",54.95830,13.10470,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE930801652958,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG940997765738,E4045001BALTIC02OFFFLAKxWTGxC2x05,28/06/2015,3780,,,,,
SEE947813172213,C3,In Betrieb,Wind,3780,3780,04/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,951,958","13,107,649",54.95196,13.10765,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE996464599764,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG905706612543,E4045001BALTIC02OFFFLAKxWTGxC3x06,04/07/2015,3780,,,,,
SEE994749457228,D1,In Betrieb,Wind,3780,3780,09/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,972,073","13,110,516",54.97207,13.11052,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE979607150268,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG915459343656,E4045001BALTIC02OFFFLAKxWTGxD1x07,09/06/2015,3780,,,,,
SEE907944700785,D2,In Betrieb,Wind,3780,3780,08/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,966,121","13,113,295",54.96612,13.11330,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE946339056793,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG942748004424,E4045001BALTIC02OFFFLAKxWTGxD2x08,08/06/2015,3780,,,,,
SEE987105580579,D3,In Betrieb,Wind,3780,3780,26/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,960,169","13,116,073",54.96017,13.11607,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE948528464037,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG951390080328,E4045001BALTIC02OFFFLAKxWTGxD3x09,26/06/2015,3780,,,,,
SEE950049394311,D4,In Betrieb,Wind,3780,3780,04/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,954","1,311,885",54.95400,13.11885,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE920426085743,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG910881103311,E4045001BALTIC02OFFFLAKxWTGxD4x10,04/07/2015,3780,,,,,
SEE930689471047,E1,In Betrieb,Wind,3780,3780,17/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,978,853","13,118,792",54.97885,13.11879,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE940603173537,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG971009181024,E4045001BALTIC02OFFFLAKxWTGxE1x11,17/06/2015,3780,,,,,
SEE907941573597,E2,In Betrieb,Wind,3780,3780,22/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,973,204","13,121,432",54.97320,13.12143,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE919587048353,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG907490410336,E4045001BALTIC02OFFFLAKxWTGxE2x12,22/06/2015,3780,,,,,
SEE918176032896,E4,In Betrieb,Wind,3780,3780,26/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,961,906","13,126,708",54.96191,13.12671,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE986577436391,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG916219394390,E4045001BALTIC02OFFFLAKxWTGxE4x14,26/06/2015,3780,,,,,
SEE970100825608,E3,In Betrieb,Wind,3780,3780,09/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,967,555","1,312,407",54.96756,13.12407,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE982313110297,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG903956193904,E4045001BALTIC02OFFFLAKxWTGxE3x13,09/06/2015,3780,,,,,
SEE972924417250,E5,In Betrieb,Wind,3780,3780,05/07/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,956,257","13,129,344",54.95626,13.12934,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE941515930775,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG958383763497,E4045001BALTIC02OFFFLAKxWTGxE5x15,05/07/2015,3780,,,,,
SEE993126036339,F1,In Betrieb,Wind,3780,3780,10/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,985,532","13,127,045",54.98553,13.12705,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE981375024313,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG985459419507,E4045001BALTIC02OFFFLAKxWTGxF1x16,10/06/2015,3780,,,,,
SEE971642106583,F2,In Betrieb,Wind,3780,3780,10/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,980,142","13,129,562",54.98014,13.12956,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE985166667871,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG940278810201,E4045001BALTIC02OFFFLAKxWTGxF2x17,10/06/2015,3780,,,,,
SEE944918234914,F3,In Betrieb,Wind,3780,3780,14/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,974,752","13,132,079",54.97475,13.13208,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE939142013497,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG961710039516,E4045001BALTIC02OFFFLAKxWTGxF3x18,14/06/2015,3780,,,,,
SEE970507628789,F4,In Betrieb,Wind,3780,3780,07/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,969,371","13,134,594",54.96937,13.13459,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE975471272051,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG956700818233,E4045001BALTIC02OFFFLAKxWTGxF4x19,07/06/2015,3780,,,,,
SEE997500786872,F5,In Betrieb,Wind,3780,3780,28/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,963,981","13,137,109",54.96398,13.13711,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE940938455704,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG959116546219,E4045001BALTIC02OFFFLAKxWTGxF5x20,28/06/2015,3780,,,,,
SEE972154640503,F6,In Betrieb,Wind,3780,3780,30/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"5,495,859","13,139,623",54.95859,13.13962,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE933813668474,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG965496692514,E4045001BALTIC02OFFFLAKxWTGxF6x21,30/06/2015,3780,,,,,
SEE979327730610,G1,In Betrieb,Wind,3780,3780,11/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,992,335","13,135,139",54.99234,13.13514,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE976322715451,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG918014865310,E4045001BALTIC02OFFFLAKxWTGxG1x22,11/05/2015,3780,,,,,
SEE900924483104,G2,In Betrieb,Wind,3780,3780,11/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"5,498,588","1,313,821",54.98588,13.13821,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE931091191554,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG985465230462,E4045001BALTIC02OFFFLAKxWTGxG2x23,11/05/2015,3780,,,,,
SEE922009406280,G3,In Betrieb,Wind,3780,3780,12/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,979,413","13,140,997",54.97941,13.14100,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE923264525167,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG975979697523,E4045001BALTIC02OFFFLAKxWTGxG3x24,12/05/2015,3780,,,,,
SEE985188238677,G4,In Betrieb,Wind,3780,3780,12/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,973,167","13,144,104",54.97317,13.14410,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE971866685833,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG911198408519,E4045001BALTIC02OFFFLAKxWTGxG4x25,12/06/2015,3780,,,,,
SEE938506812240,G5,In Betrieb,Wind,3780,3780,08/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,966,789","13,147,068",54.96679,13.14707,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE916725593638,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG992153236736,E4045001BALTIC02OFFFLAKxWTGxG5x26,08/06/2015,3780,,,,,
SEE977729981845,G6,In Betrieb,Wind,3780,3780,04/07/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,960,378","13,149,928",54.96038,13.14993,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE927568886948,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG990983103563,E4045001BALTIC02OFFFLAKxWTGxG6x27,04/07/2015,3780,,,,,
SEE962333346746,H1,In Betrieb,Wind,3780,3780,11/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"5,499,895","13,143,623",54.99895,13.14362,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE946711552196,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG961186530685,E4045001BALTIC02OFFFLAKxWTGxH1x28,11/05/2015,3780,,,,,
SEE999275677188,H2,In Betrieb,Wind,3780,3780,11/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,993,705","13,145,769",54.99371,13.14577,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE948172790681,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG950829971831,E4045001BALTIC02OFFFLAKxWTGxH2x29,11/05/2015,3780,,,,,
SEE954288609311,H3,In Betrieb,Wind,3780,3780,12/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,988,497","1,314,818",54.98850,13.14818,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE930484957418,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG989288785253,E4045001BALTIC02OFFFLAKxWTGxH3x30,12/05/2015,3780,,,,,
SEE968291098505,H4,In Betrieb,Wind,3780,3780,11/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,983,218","13,150,681",54.98322,13.15068,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE963716292254,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG909312487168,E4045001BALTIC02OFFFLAKxWTGxH4x31,11/05/2015,3780,,,,,
SEE995408247624,H5,In Betrieb,Wind,3780,3780,12/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,978,095","1,315,306",54.97810,13.15306,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE979324796220,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG951264786615,E4045001BALTIC02OFFFLAKxWTGxH5x32,12/05/2015,3780,,,,,
SEE997643768254,H6,In Betrieb,Wind,3780,3780,11/05/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,972,794","13,155,639",54.97279,13.15564,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE971858983183,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG962166020158,E4045001BALTIC02OFFFLAKxWTGxH6x33,11/05/2015,3780,,,,,
SEE945237694755,H7,In Betrieb,Wind,3780,3780,09/06/2015,,14/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,967,592","13,158,026",54.96759,13.15803,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE926127651805,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG908132888902,E4045001BALTIC02OFFFLAKxWTGxH7x34,09/06/2015,3780,,,,,
SEE965031306227,H8,In Betrieb,Wind,3780,3780,29/06/2015,,15/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,962,493","13,160,425",54.96249,13.16043,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE992866201397,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG983801783146,E4045001BALTIC02OFFFLAKxWTGxH8x35,29/06/2015,3780,,,,,
SEE962060710131,I1,In Betrieb,Wind,3780,3780,11/05/2015,,15/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,005,332","13,151,636",55.00533,13.15164,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE924728207131,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG962708256267,E4045001BALTIC02OFFFLAKxWTGxI1x36,11/05/2015,3780,,,,,
